         34439414 function calls (34116394 primitive calls) in 71.518 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   847577    0.536    0.000    1.220    0.000 {built-in method builtins.getattr}
   136298    0.045    0.000    1.170    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pygments/lexer.py:187(streamer)
      201    0.002    0.000    1.127    0.006 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pygount/analysis.py:460(guess_lexer)
      200    0.245    0.001    1.122    0.006 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pygments/lexers/__init__.py:242(guess_lexer_for_filename)
138966/136008    0.386    0.000    1.112    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pygments/lexer.py:613(get_tokens_unprocessed)
    22767    0.407    0.000    1.074    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/base.py:405(__init__)
      265    0.007    0.000    1.000    0.004 /Users/ediaz/work/src/github.com/lnds/codice/files/models.py:132(calc_soc)
     2772    0.428    0.000    0.997    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/chardet/sbcharsetprober.py:77(feed)
    15397    0.094    0.000    0.986    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/query.py:279(get_compiler)
   143615    0.282    0.000    0.931    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/expressions.py:768(as_sql)
      506    0.005    0.000    0.926    0.002 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/query.py:386(count)
      506    0.006    0.000    0.919    0.002 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/query.py:511(get_count)
  422/265    0.009    0.000    0.888    0.003 /Users/ediaz/work/src/github.com/lnds/codice/analytics/analyzer.py:408(__get_filepath)
    20058    0.059    0.000    0.817    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/lookups.py:78(process_lhs)
     1446    0.012    0.000    0.809    0.001 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/related_descriptors.py:613(get_queryset)
      508    0.004    0.000    0.803    0.002 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/base.py:892(_do_update)
     4105    0.098    0.000    0.797    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/compiler.py:1322(as_sql)
    21333    0.044    0.000    0.796    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/query.py:1233(_chain)
      724    0.011    0.000    0.788    0.001 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/query.py:358(aggregate)
   169894    0.160    0.000    0.787    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/re.py:287(_compile)
    15136    0.017    0.000    0.768    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/backends/base/base.py:257(cursor)
    41548    0.344    0.000    0.765    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/query.py:1424(names_to_path)
  2172189    0.761    0.000    0.761    0.000 {method 'match' of 're.Pattern' objects}
     1446    0.026    0.000    0.757    0.001 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/related_descriptors.py:574(_apply_rel_filters)
    15136    0.094    0.000    0.751    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/backends/base/base.py:235(_cursor)
        4    0.001    0.000    0.746    0.187 /Users/ediaz/work/src/github.com/lnds/codice/analytics/blames.py:20(<listcomp>)
     2353    0.132    0.000    0.745    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/bin/../lib/python3.8/os.py:705(copy)
    91824    0.041    0.000    0.741    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/re.py:248(compile)
    19793    0.111    0.000    0.739    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/lookups.py:20(__init__)
    21333    0.119    0.000    0.736    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/query.py:1245(_clone)
     2353    0.286    0.000    0.727    0.000 /usr/local/Cellar/python@3.8/3.8.1/Frameworks/Python.framework/Versions/3.8/lib/python3.8/subprocess.py:1097(_close_pipe_fds)
    46440    0.124    0.000    0.725    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/related.py:984(get_col)
